,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3292,15162469,37.739888,-122.41793,1925,2.0,3,02/25/2014,1550000,2250,1612
3293,15163722,37.735919,-122.418621,1906,3.0,4,12/23/2014,1565000,2500,1750
3294,15164494,37.734474,-122.419369,1942,5.0,5,06/01/2015,1570000,3197,2479
3295,15164528,37.734747,-122.417625,1880,2.0,4,07/12/2013,1600000,3000,2000
3296,15164563,37.734183,-122.417357,1906,1.0,2,04/03/2015,1580000,1751,1400
3297,15180964,37.749927,-122.433582,1917,2.0,,06/07/2013,1600000,2665,2160
3298,15180987,37.749878,-122.434964,1908,3.0,3,06/05/2015,1560000,2848,2500
3299,15181055,37.750128,-122.436665,1924,1.0,,11/25/2014,1600000,2308,1238
3300,15182028,37.747406,-122.42898,1908,1.0,2,10/09/2013,1600000,1485,1450
3301,15182746,37.745203,-122.432126,1910,2.5,3,09/04/2014,1550000,2848,2244
3302,15182809,37.745,-122.433744,1988,2.5,3,12/19/2014,1590000,,2103
3303,15182846,37.745274,-122.436057,1946,2.0,3,12/18/2013,1585000,2539,1711
3304,15182873,37.744258,-122.434825,1910,4.5,4,03/10/2015,1550000,2848,893
3305,15182906,37.744607,-122.43154,1910,2.5,3,09/19/2013,1545000,2625,1622
3306,15182966,37.744782,-122.43095,1912,3.0,4,04/15/2014,1600000,2000,1836
3307,15183019,37.74498,-122.428037,1908,2.0,,10/31/2014,1550000,2922,1436
3308,15183776,37.739916,-122.426766,1924,2.0,3,11/06/2014,1579000,2247,1700
3309,15183833,37.74029,-122.425933,1906,2.0,4,09/06/2013,1550000,3125,2619
3310,15183836,37.739961,-122.426251,1954,1.5,3,10/18/2013,1575000,2495,837
3311,15183901,37.741456,-122.424512,1923,2.0,2,10/08/2015,1565000,2613,1120
3312,15183961,37.739116,-122.426005,1900,3.0,4,09/24/2013,1550000,2756,2200
3313,15185126,37.73608,-122.437259,1904,2.0,2,06/09/2015,1550000,2099,1242
3314,15185358,37.735605,-122.43439,1908,2.0,4,01/16/2014,1600000,2500,2200
3315,15185366,37.734909,-122.433959,1951,2.0,,10/31/2014,1600000,1942,2450
3316,15185439,37.734078,-122.431969,1906,2.0,3,03/20/2015,1580000,1750,1562
3317,15185945,37.732851,-122.437218,1946,3.0,4,12/02/2014,1600000,2570,2669
3318,15187272,37.72528,-122.467588,1923,3.0,4,06/17/2014,1600000,5662,3330
3319,15187433,37.724453,-122.463904,1925,2.0,3,08/06/2014,1600000,5571,2018
3320,15187518,37.722526,-122.470162,1926,1.0,3,07/14/2015,1550000,5323,1620
3321,15187590,37.722723,-122.466839,1923,4.0,4,02/09/2015,1550000,5362,2622
3322,15196406,37.733006,-122.477597,1932,2.5,4,05/01/2014,1560000,4220,2532
3323,15196930,37.727177,-122.472608,1939,3.5,4,09/25/2013,1595000,5227,3294
3324,15197294,37.731441,-122.483302,1941,3.0,4,02/26/2016,1600000,2495,1981
3325,15198331,37.729517,-122.496643,1955,4.0,5,05/30/2014,1568000,3660,3500
3326,15198631,37.74644,-122.445109,1962,2.5,4,08/26/2015,1562000,4286,1852
3327,15198867,37.74496,-122.441997,1962,4.0,7,12/09/2014,1542500,2944,3270
3328,15199538,37.740422,-122.439826,1972,2.0,3,09/24/2014,1550000,5693,1578
3329,15199562,37.739284,-122.438555,1967,3.0,4,11/20/2015,1555000,2713,2271
3330,15199573,37.739244,-122.4371,1968,3.0,4,01/29/2016,1558000,2935,2200
3331,15159618,37.747644,-122.415408,1908,,6,12/19/2014,1535000,2622,2411
3332,15118372,37.748552,-122.467603,1980,4.5,3,06/07/2013,1590000,3846,3200
3333,15200063,37.743497,-122.4338,1913,1.5,2,10/07/2015,1590000,2574,1555
3334,111933510,37.742116,-122.41988,1907,2.0,2,03/31/2016,1600000,,1863
3335,15182982,37.744882,-122.429647,1907,1.0,3,09/09/2015,1550000,3049,640
3336,15179970,37.749435,-122.44229,1996,3.0,4,09/30/2014,1589000,1695,1901
3337,15122550,37.74244,-122.479202,1913,2.0,5,12/06/2013,1550000,5998,2261
3338,15119410,37.745903,-122.48482,1940,2.0,3,12/01/2015,1600000,3001,2378
3339,15160090,37.745208,-122.4147,1910,1.0,2,10/23/2015,1550000,1999,1320
3340,15119993,37.745272,-122.471158,1927,2.0,4,09/04/2015,1550000,2324,2000
3341,15120277,37.744235,-122.473959,1927,2.0,4,10/02/2015,1538000,3049,2300
3342,15120293,37.74408,-122.474363,1940,3.0,4,03/27/2015,1550000,2996,2330
3343,15163213,37.737197,-122.413659,1968,2.0,3,11/25/2015,1550000,1751,1200
3344,123597671,37.749097,-122.425027,2012,2.0,2,05/21/2014,1600000,,1738
3345,2100835351,37.736278,-122.391098,1900,,,12/08/2015,1600000,,
3346,15187207,37.72558,-122.466055,1922,4.0,3,06/18/2014,1540000,5662,2125
3347,15120608,37.744354,-122.485153,1925,5.0,7,07/03/2014,1600000,3049,3944
3348,2107281673,37.747161,-122.423027,,2.5,3,08/12/2014,1599000,,
3349,2109110766,37.740474,-122.427429,1907,4.0,5,03/06/2014,1532000,3125,3125
3350,2109578117,37.73555,-122.43417,,1.0,1,01/14/2014,1600000,,
3351,2109578125,37.73555,-122.43417,,1.0,3,01/16/2014,1600000,,
3352,15183691,37.74146,-122.428128,1909,1.0,2,06/07/2013,1600000,3125,1598
3353,2132290445,37.73978,-122.41698,1918,2.0,5,04/09/2015,1550000,,2300
3354,15187207,37.72558,-122.466055,1922,4.0,3,06/18/2014,1540000,5662,2125
3355,15120293,37.74408,-122.474363,1940,3.0,4,03/27/2015,1550000,2996,2330
3356,15120608,37.744354,-122.485153,1925,5.0,7,07/03/2014,1600000,3049,3944
3357,15122058,37.740928,-122.492412,1925,3.0,4,10/06/2015,1540000,2996,1941
3358,111710819,37.776062,-122.419853,2009,2.0,2,06/14/2013,950000,,1160
3359,124397853,37.772243,-122.423439,2014,2.5,2,12/04/2014,1125000,,1001
3360,2099854068,37.771505,-122.394356,,2.0,2,01/20/2016,1087600,,1219
3361,15114873,37.751422,-122.47489,1929,3.0,4,04/02/2014,980000,2809,1400
3362,59700636,37.753512,-122.401046,2001,2.5,2,10/09/2014,1255000,,1419
3363,2099688797,37.79507,-122.4138,1960,2.0,3,03/16/2015,1500000,,2700
3364,2133373287,37.785842,-122.399196,2010,1.0,1,12/15/2013,1910000,,1200
3365,15069255,37.79058,-122.40312,1987,2.0,2,12/13/2013,1588000,,1350
3366,15078810,37.773648,-122.427664,1900,1.5,3,10/31/2013,1550000,2021,2100
3367,15079402,37.770689,-122.428409,1890,2.0,3,03/27/2014,1550000,,1814
3368,15080070,37.800725,-122.442218,1924,2.0,2,06/20/2014,1550000,3436,1420
3369,15080086,37.800268,-122.443215,1927,1.5,2,02/26/2014,1550000,2343,1386
3370,15080383,37.797745,-122.44312,1987,3.0,3,05/10/2013,1600000,3424,1897
3371,15080762,37.79453,-122.44627,1932,1.0,2,11/04/2015,1550000,,1344
3372,15081197,37.79191,-122.44083,1914,2.0,2,06/18/2013,1595000,,1958
3373,15081451,37.790476,-122.448068,1913,3.0,2,08/20/2013,1565000,1850,1850
3374,15082208,37.788489,-122.448405,1900,2.0,2,06/21/2013,1550000,,1607
3375,15082341,37.7869,-122.457446,1904,2.0,3,04/08/2014,1550000,,1455
3376,15082705,37.78663,-122.445853,1905,,0,12/04/2013,1600000,2835,4088
3377,15083258,37.785094,-122.445169,1900,3.0,3,06/25/2013,1550000,2100,2065
3378,15083711,37.783789,-122.44278,1923,3.0,3,01/21/2015,1565000,1132,975
3379,15082341,37.7869,-122.457446,1904,2.0,3,04/08/2014,1550000,,1455
3380,15082705,37.78663,-122.445853,1905,,0,12/04/2013,1600000,2835,4088
3381,15083258,37.785094,-122.445169,1900,3.0,3,06/25/2013,1550000,2100,2065
