,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3952,37.776385,-122.4457,2002,1.0,1,09/29/2014,675000,,642
3953,37.78352,-122.421356,2002,,2,05/22/2013,699000,,1227
3954,37.78352,-122.421356,2002,,2,05/22/2013,699000,,1227
3955,37.784195,-122.396605,2002,1.5,1,05/20/2013,690000,,1064
3956,37.75314,-122.394005,2001,2.0,3,11/19/2013,699000,,1212
3957,37.753681,-122.390415,2002,2.0,1,07/11/2013,690000,,945
3958,37.7537,-122.390075,2002,2.0,1,12/05/2013,679000,,913
3959,37.793532,-122.41083,1984,1.0,1,06/09/2014,690000,,915
3960,37.805426,-122.424814,1965,1.0,1,06/21/2013,699000,,700
3961,37.772655,-122.411499,2003,1.0,2,08/28/2014,681000,,730
3962,37.777936,-122.405393,2001,2.0,1,06/04/2013,680000,,1054
3963,37.771585,-122.418825,2002,,,03/24/2015,682500,,795
3964,37.771585,-122.418825,2002,1.5,1,02/20/2015,685000,,830
3965,37.771585,-122.418825,2002,1.5,1,09/16/2014,670000,,830
3966,37.771585,-122.418825,2002,1.0,1,03/26/2015,695100,,795
3967,37.79015,-122.40588,1908,1.0,1,09/10/2013,690000,,656
3968,37.753057,-122.476721,1948,2.0,4,01/30/2014,670000,3005,2012
3969,37.787031,-122.393642,2004,1.0,1,08/16/2013,678000,,675
3970,37.796385,-122.420727,1982,1.0,1,11/01/2013,682500,,777
3971,37.787029,-122.3936,2004,1.0,1,11/06/2013,689000,,675
3972,37.78691,-122.390925,2002,1.0,1,11/24/2015,699000,,694
3973,37.771683,-122.411809,2004,1.0,1,05/02/2014,682000,,801
3974,37.771683,-122.411809,2004,1.0,1,08/19/2013,680000,,830
3975,37.796385,-122.420727,1982,1.0,1,06/04/2013,672000,,682
3976,37.783594,-122.390725,2004,1.0,1,01/14/2014,681000,,732
3977,37.79929,-122.404286,1912,1.0,1,06/12/2013,695000,,714
3978,37.786413,-122.396372,2006,1.0,1,09/09/2015,675000,,637
3979,37.777645,-122.39343,2004,1.0,1,10/22/2014,690000,,822
3980,37.777645,-122.39343,2004,1.0,1,07/12/2013,687000,,822
3981,37.777641,-122.393417,2004,1.0,1,02/27/2015,680000,,814
3982,37.777641,-122.393417,2004,1.0,1,03/25/2014,690000,,965
3983,37.777641,-122.393417,2004,1.0,1,10/18/2013,685000,,908
3984,37.786235,-122.389068,2006,2.0,2,10/22/2010,987000,,1128
3985,37.777645,-122.39343,2004,1.0,1,10/17/2014,690000,,862
3986,37.777641,-122.393417,2004,1.0,1,09/24/2013,699000,,868
3987,37.786148,-122.394291,2006,1.5,1,03/11/2015,686000,,714
3988,37.782485,-122.43677,1890,1.0,1,07/14/2015,670000,,625
3989,37.804401,-122.404265,1975,1.0,1,02/04/2014,675000,,800
3990,37.779422,-122.396712,,1.0,1,02/05/2014,675000,,787
3991,37.790184,-122.421348,2006,2.0,2,05/01/2013,698000,,999
3992,37.773441,-122.438758,2007,1.0,1,03/03/2014,695000,,672
3993,37.779422,-122.396712,2006,1.0,1,08/01/2014,675500,,700
3994,37.80424,-122.405509,1992,,,01/27/2015,670000,,697
3995,37.778057,-122.43251,1999,1.0,1,11/26/2014,682500,,663
3996,37.773441,-122.438758,2007,1.0,1,10/31/2013,670000,,700
3997,37.777641,-122.393417,2004,1.0,1,06/02/2014,690000,,882
3998,37.776382,-122.445739,2002,1.0,1,09/30/2015,690000,,605
3999,37.775871,-122.39701,1999,2.0,,12/19/2013,695000,,929
4000,37.778884,-122.393287,2003,3.3,2,02/28/2014,699000,,908
4001,37.780036,-122.406105,1999,,1,06/25/2013,695000,,926
4002,37.778373,-122.40319,2000,1.5,2,08/16/2013,678000,,1042
