,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
5009,15191794,37.714264,-122.446004,1926,1.0,,11/06/2015,780000,2191,SingleFamily,2015,557271.0,1060,94112
5010,15191858,37.715322,-122.446498,1938,2.0,3,07/31/2013,760000,2731,SingleFamily,2015,775182.0,1418,94112
5011,15192191,37.718028,-122.458499,1955,2.0,3,03/30/2016,760000,2495,SingleFamily,2015,707876.0,1465,94112
5012,15192560,37.716464,-122.453088,1939,3.0,5,12/11/2014,785000,2613,SingleFamily,2015,785000.0,2475,94112
5013,15193316,37.716622,-122.469547,1942,1.0,2,03/14/2014,768000,2613,SingleFamily,2015,783344.0,812,94132
5014,15193361,37.717028,-122.470447,1962,2.0,,09/17/2013,778000,2495,SingleFamily,2015,793544.0,1482,94132
5015,15193449,37.715226,-122.470084,1939,1.0,2,01/15/2015,775000,2495,SingleFamily,2015,41283.0,800,94132
5016,15193706,37.715394,-122.465036,1940,2.0,3,05/05/2014,775000,2495,SingleFamily,2015,816407.0,1405,94132
5017,15194820,37.712536,-122.461169,1980,2.0,3,09/11/2013,760000,3049,SingleFamily,2015,775101.0,1800,94112
5018,15195675,37.709197,-122.453677,1913,1.0,3,11/20/2015,765000,1999,SingleFamily,2015,37804.0,1750,94112
5019,15196247,37.708305,-122.464656,1982,2.5,4,03/24/2015,782000,2388,SingleFamily,2015,743170.0,1880,94112
5020,15196249,37.708429,-122.464627,1982,3.0,3,05/23/2014,781500,2613,SingleFamily,2015,796898.0,1750,94112
5021,15196279,37.708951,-122.465392,1955,2.0,3,10/16/2015,765000,2500,SingleFamily,2015,501498.0,1375,94112
5022,15198389,37.708692,-122.483904,1975,2.0,,04/04/2014,785000,,Condominium,2015,800684.0,2062,94132
5023,15198462,37.713365,-122.482769,1975,2.0,3,09/27/2013,785000,,Condominium,2015,800684.0,1904,94132
5024,15198544,37.713202,-122.481964,1975,2.0,3,04/24/2015,760000,,Condominium,2015,726580.0,1474,94132
5025,15199193,37.745639,-122.442432,1972,1.0,2,07/13/2015,760000,,Condominium,2015,569232.0,990,94131
5026,15200266,37.738444,-122.43153,1973,1.5,2,06/25/2013,760000,,Condominium,2015,778702.0,1360,94131
5027,15160881,37.744441,-122.406028,1917,2.0,3,02/28/2014,760000,1742,SingleFamily,2015,775184.0,1275,94110
5028,15140345,37.728825,-122.444517,1925,1.0,2,11/20/2014,765000,1868,SingleFamily,2015,765000.0,984,94131
