,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
7223,15146218,http://www.zillow.com/homedetails/439-Hill-St-San-Francisco-CA-94114/15146218_zpid/,,,,,,Forced air,Family room,,
7224,15146664,http://www.zillow.com/homedetails/3676-23rd-St-San-Francisco-CA-94110/15146664_zpid/,,,,,,,,,
7225,15146824,http://www.zillow.com/homedetails/2713-2717-Folsom-St-San-Francisco-CA-94110/15146824_zpid/,,,,,,,,,
7226,15146866,http://www.zillow.com/homedetails/2746-Folsom-St-San-Francisco-CA-94110/15146866_zpid/,,,Other,,,,,,
7227,15147149,http://www.zillow.com/homedetails/1045-Sanchez-St-San-Francisco-CA-94114/15147149_zpid/,,,Composition,,,,,,
7228,15147399,http://www.zillow.com/homedetails/222-8th-St-San-Francisco-CA-94103/15147399_zpid/,,,,,,,,,
7229,15148017,http://www.zillow.com/homedetails/461-2nd-St-APT-C108-San-Francisco-CA-94107/15148017_zpid/,2008,None,,,Electric,Baseboard,"Office, Master bath, Family room, Dining room, Laundry room",,
7230,15148644,http://www.zillow.com/homedetails/403-Main-St-APT-707N-San-Francisco-CA-94105/15148644_zpid/,,,,,,,,,
7231,15148817,http://www.zillow.com/homedetails/322-324-Utah-St-San-Francisco-CA-94103/15148817_zpid/,,,,,,,,,
7232,15149175,http://www.zillow.com/homedetails/542-Utah-St-San-Francisco-CA-94110/15149175_zpid/,,,,City,,,"Dining room, Family room, Laundry room",,
7233,15149724,http://www.zillow.com/homedetails/417-Arkansas-St-San-Francisco-CA-94107/15149724_zpid/,,None,Asphalt,City,,,"Laundry room, Master bath, Dining room",,
7234,15150551,http://www.zillow.com/homedetails/722-Wisconsin-St-San-Francisco-CA-94107/15150551_zpid/,,,,,,,,,
7235,15151113,http://www.zillow.com/homedetails/2339-Bryant-St-San-Francisco-CA-94110/15151113_zpid/,,,,,,,,,
7236,15151569,http://www.zillow.com/homedetails/1133-De-Haro-St-San-Francisco-CA-94107/15151569_zpid/,2014,,,,,,,Potrero Hill,
7237,15152704,http://www.zillow.com/homedetails/1464-Kansas-St-San-Francisco-CA-94107/15152704_zpid/,,,,,,,"Sun room, Master bath, Pantry, Family room, Dining room",,
7238,15180488,http://www.zillow.com/homedetails/1124-1126-Treat-Ave-San-Francisco-CA-94110/15180488_zpid/,,Partially finished,Shake / Shingle,City,,,"Dining room, Family room",,
7239,15070937,http://www.zillow.com/homedetails/1328-Greenwich-St-San-Francisco-CA-94109/15070937_zpid/,,,Other,,Gas,,"Sun room, Dining room",,
7240,15127517,http://www.zillow.com/homedetails/101-States-St-APT-2-San-Francisco-CA-94114/15127517_zpid/,,,Other,City,,,Dining room,,
7241,15064006,http://www.zillow.com/homedetails/156-Lombard-St-APT-11-San-Francisco-CA-94111/15064006_zpid/,,,,,,,,,
