"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
31521603,40.777664,-73.980819,1940,1,0,2015-03-16,485000,NA,"Condominium",2015,126467,417,10023,NA,NA
30723086,40.601675,-73.975775,1925,2,3,2015-02-11,710000,1841,"Townhouse",2015,602000,1736,11223,NA,NA
32360611,40.563289,-74.18492,1996,2,1,2008-01-31,205000,362,"Townhouse",2015,195000,929,10312,"$229,000","http://www.zillow.com/homes/for_sale/32360611_zpid"
2120175623,40.880115,-73.911796,1964,1,2,NA,NA,NA,"Cooperative",NA,NA,1000,10463,"$239,000","http://www.zillow.com/homes/for_sale/2120175623_zpid"
125791470,40.72676,-73.82152,NA,NA,NA,2016-03-15,243000,NA,"Cooperative",NA,NA,NA,11367,NA,NA
32153843,40.711015,-73.759324,1920,NA,NA,2014-04-18,440000,4000,"SingleFamily",2015,415000,2080,11423,NA,NA
69510978,40.776333,-73.989149,2006,1,1,2013-09-03,860000,NA,"Condominium",2014,162369,680,10069,NA,NA
32357105,40.55088,-74.17262,1965,2,3,2003-10-08,408000,3977,"SingleFamily",2015,411000,1066,10312,"$479,900","http://www.zillow.com/homes/for_sale/32357105_zpid"
55502213,40.75259,-73.967552,NA,2,2,2013-07-19,1500000,NA,"Condominium",2014,275255,1325,10017,NA,NA
31546407,40.790805,-73.946319,1910,1,1,2015-07-13,380000,NA,"Condominium",2015,48901,525,10029,NA,NA
30751602,40.627325,-73.94864,1925,NA,NA,2014-08-06,725000,2000,"SingleFamily",2015,686000,1504,11210,NA,NA
72657351,40.615715,-73.969551,NA,1,1,2006-02-21,207618,900,"Cooperative",NA,NA,NA,11230,"$284,500","http://www.zillow.com/homes/for_sale/72657351_zpid"
2119189879,40.8563,-73.865997,1930,1,1,NA,NA,NA,"Cooperative",NA,NA,800,10462,"$109,000","http://www.zillow.com/homes/for_sale/2119189879_zpid"
2099005472,40.6857,-73.9271,1899,5,4,NA,NA,NA,"Townhouse",NA,NA,2440,11221,"$1,849,000","http://www.zillow.com/homes/for_sale/2099005472_zpid"
30571311,40.685635,-73.990415,1931,5,4,2005-03-22,2350000,2500,"SingleFamily",2015,3665000,6000,11201,"$5,800,000","http://www.zillow.com/homes/for_sale/30571311_zpid"
32087779,40.75016,-73.74876,1955,3,5,2012-06-29,759000,5000,"MultiFamily2To4",2015,977000,2385,11364,"$1,330,000","http://www.zillow.com/homes/for_sale/32087779_zpid"
112499726,40.707649,-73.947139,1920,NA,NA,2014-05-21,35600000,9375,"SingleFamily",2011,1150000,10000,11206,NA,NA
32212511,40.65313,-73.730715,1955,3,3,2015-09-16,429000,2800,"SingleFamily",2015,321000,2000,11422,NA,NA
30722325,40.605405,-73.965845,1920,NA,NA,2014-01-06,460000,3600,"SingleFamily",2015,1741000,2152,11223,NA,NA
31980453,40.740845,-73.907299,1972,NA,NA,2013-05-28,600000,1905,"Triplex",2015,965000,4600,11377,NA,NA
